Invalid_Sched_for_Table: 1,Invalid_Sched_for_Table: 2,Invalid_Sched_for_Table: 3,Invalid_Sched_for_Table: 4,Invalid_Sched_for_Table: 5,Invalid_Sched_for_Table: 6,Invalid_Sched_for_Table: 7,Invalid_Sched_for_Table: 8,Invalid_Sched_for_Table: 9,Invalid_Sched_for_Table: 10,Invalid_Sched_for_Table: 11,Invalid_Sched_for_Table: 12,Invalid_Sched_for_Table: 13,Invalid_Sched_for_Table: 14,Invalid_Sched_for_Table: 15,Invalid_Sched_for_Table: 16,Invalid_Sched_for_Table: 17,Invalid_Sched_for_Table: 18,Invalid_Sched_for_Table: 19,Invalid_Sched_for_Table: 20,Invalid_Sched_for_Table: 21,Invalid_Sched_for_Table: 22,Invalid_Sched_for_Table: 23,Invalid_Sched_for_Table: 24,Invalid_Sched_for_Table: 25,Invalid_Sched_for_Table: 26,Invalid_Sched_for_Table: 27,Invalid_Sched_for_Table: 28,Invalid_Sched_for_Table: 29,Invalid_Sched_for_Table: 30,Invalid_Sched_for_Table: 31,Invalid_Sched_for_Table: 32,Invalid_Sched_for_Table: 33,Invalid_Sched_for_Table: 34,Invalid_Sched_for_Table: 35,Invalid_Sched_for_Table: 36,Invalid_Sched_for_Table: 37,Invalid_Sched_for_Table: 38,Invalid_Sched_for_Table: 39,Invalid_Sched_for_Table: 40,Invalid_Sched_for_Table: 41,Invalid_Sched_for_Table: 42,Invalid_Sched_for_Table: 43,Invalid_Sched_for_Table: 44,Invalid_Sched_for_Table: 45,Invalid_Sched_for_Table: 46,Invalid_Sched_for_Table: 47,Invalid_Sched_for_Table: 48,Invalid_Sched_for_Table: 49,Invalid_Sched_for_Table: 50,Invalid_Sched_for_Table: 51,Invalid_Sched_for_Table: 52,Invalid_Sched_for_Table: 53,Invalid_Sched_for_Table: 54,Invalid_Sched_for_Table: 55,Invalid_Sched_for_Table: 56,Invalid_Sched_for_Table: 57,Invalid_Sched_for_Table: 58,Invalid_Sched_for_Table: 59,Invalid_Sched_for_Table: 60,Invalid_Sched_for_Table: 61,Invalid_Sched_for_Table: 62,Invalid_Sched_for_Table: 63,Invalid_Sched_for_Table: 64,Invalid_Sched_for_Table: 65,Invalid_Sched_for_Table: 66,Invalid_Sched_for_Table: 67,Invalid_Sched_for_Table: 68,Invalid_Sched_for_Table: 69,Invalid_Sched_for_Table: 70,Invalid_Sched_for_Table: 71,Invalid_Sched_for_Table: 72,Invalid_Sched_for_Table: 73,Invalid_Sched_for_Table: 74,Invalid_Sched_for_Table: 75,Invalid_Sched_for_Table: 76,Invalid_Sched_for_Table: 77,Invalid_Sched_for_Table: 78,Invalid_Sched_for_Table: 79,Invalid_Sched_for_Table: 80,Invalid_Sched_for_Table: 81,Invalid_Sched_for_Table: 82,Invalid_Sched_for_Table: 83,Invalid_Sched_for_Table: 84,Invalid_Sched_for_Table: 85,Invalid_Sched_for_Table: 86,Invalid_Sched_for_Table: 87,Invalid_Sched_for_Table: 88,Invalid_Sched_for_Table: 89,Invalid_Sched_for_Table: 90,Invalid_Sched_for_Table: 91,Invalid_Sched_for_Table: 92,Invalid_Sched_for_Table: 93,Invalid_Sched_for_Table: 94,Invalid_Sched_for_Table: 95,Invalid_Sched_for_Table: 96,Invalid_Sched_for_Table: 97,Invalid_Sched_for_Table: 98,Invalid_Sched_for_Table: 99,Invalid_Sched_for_Table: 100
,,,,,,,,,,,,,TUES 800,TUES 800,TUES 800,TUES 800,TUES 800,TUES 800,TUES 800,TUES 800,TUES 800,TUES 800,TUES 800,,TUES 200,TUES 200,TUES 200,TUES 200,TUES 200,TUES 200,TUES 200,TUES 200,TUES 200,TUES 200,FRI 100,THURS 330,THURS 330,THURS 330,THURS 330,THURS 330,THURS 330,THURS 330,THURS 330,THURS 330,THURS 330,THURS 330,THURS 330,THURS 330,THURS 330,THURS 330,THURS 330,THURS 330,THURS 330,THURS 330,THURS 330,THURS 330,THURS 330,THURS 330,MON 200,MON 200,MON 200,MON 200,MON 200,MON 200,MON 200,MON 200,MON 200,MON 200,MON 200,MON 200,MON 200,MON 200,MON 200,MON 200,MON 200,MON 200,MON 200,MON 200,MON 200,MON 200,MON 200,MON 200,WED 200,WED 200,WED 200,WED 200,WED 200,WED 200,WED 200,WED 200,WED 200,WED 200,WED 200,WED 200,WED 200,WED 200,WED 200,WED 200,WED 200
,,,,,,,,,,,,,TUES 815,TUES 815,TUES 815,TUES 815,TUES 815,TUES 815,TUES 815,TUES 815,TUES 815,TUES 815,TUES 815,,TUES 215,TUES 215,TUES 215,TUES 215,TUES 215,TUES 215,TUES 215,TUES 215,TUES 215,TUES 215,FRI 245,THURS 745,THURS 745,THURS 745,THURS 745,THURS 745,THURS 745,THURS 745,THURS 745,THURS 745,THURS 745,THURS 745,THURS 745,THURS 745,THURS 745,THURS 745,THURS 745,THURS 745,THURS 745,THURS 745,THURS 745,THURS 745,THURS 745,THURS 745,MON 215,MON 215,MON 215,MON 215,MON 215,MON 215,MON 215,MON 215,MON 215,MON 215,MON 215,MON 215,MON 215,MON 215,MON 215,MON 215,MON 215,MON 215,MON 215,MON 215,MON 215,MON 215,MON 215,MON 215,WED 215,WED 215,WED 215,WED 215,WED 215,WED 215,WED 215,WED 215,WED 215,WED 215,WED 215,WED 215,WED 215,WED 215,WED 215,WED 215,WED 215
,,,,,,,,,,,,,TUES 830,TUES 830,TUES 830,TUES 830,TUES 830,TUES 830,TUES 830,TUES 830,TUES 830,TUES 830,TUES 830,,TUES 230,TUES 230,TUES 230,TUES 230,TUES 230,TUES 230,TUES 230,TUES 230,TUES 230,TUES 230,FRI 300,THURS 800,THURS 800,THURS 800,THURS 800,THURS 800,THURS 800,THURS 800,THURS 800,THURS 800,THURS 800,THURS 800,THURS 800,THURS 800,THURS 800,THURS 800,THURS 800,THURS 800,THURS 800,THURS 800,THURS 800,THURS 800,THURS 800,THURS 800,MON 230,MON 230,MON 230,MON 230,MON 230,MON 230,MON 230,MON 230,MON 230,MON 230,MON 230,MON 230,MON 230,MON 230,MON 230,MON 230,MON 230,MON 230,MON 230,MON 230,MON 230,MON 230,MON 230,MON 230,WED 230,WED 230,WED 230,WED 230,WED 230,WED 230,WED 230,WED 230,WED 230,WED 230,WED 230,WED 230,WED 230,WED 230,WED 230,WED 230,WED 230
,,,,,,,,,,,,,TUES 845,TUES 845,TUES 845,TUES 845,TUES 845,TUES 845,TUES 845,TUES 845,TUES 845,TUES 845,TUES 845,,TUES 245,TUES 245,TUES 245,TUES 245,TUES 245,TUES 245,TUES 245,TUES 245,TUES 245,TUES 245,SAT 900,THURS 915,THURS 915,THURS 915,THURS 915,THURS 915,THURS 915,THURS 915,THURS 915,THURS 915,THURS 915,THURS 915,THURS 915,THURS 915,THURS 915,THURS 915,THURS 915,THURS 915,THURS 915,THURS 915,THURS 915,THURS 915,THURS 915,THURS 915,MON 245,MON 245,MON 245,MON 245,MON 245,MON 245,MON 245,MON 245,MON 245,MON 245,MON 245,MON 245,MON 245,MON 245,MON 245,MON 245,MON 245,MON 245,MON 245,MON 245,MON 245,MON 245,MON 245,MON 245,WED 245,WED 245,WED 245,WED 245,WED 245,WED 245,WED 245,WED 245,WED 245,WED 245,WED 245,WED 245,WED 245,WED 245,WED 245,WED 245,WED 245
,,,,,,,,,,,,,TUES 900,TUES 900,TUES 900,TUES 900,TUES 900,TUES 900,TUES 900,TUES 900,TUES 900,TUES 900,TUES 900,,TUES 300,TUES 300,TUES 300,TUES 300,TUES 300,TUES 300,TUES 300,TUES 300,TUES 300,TUES 300,SAT 915,THURS 930,THURS 930,THURS 930,THURS 930,THURS 930,THURS 930,THURS 930,THURS 930,THURS 930,THURS 930,THURS 930,THURS 930,THURS 930,THURS 930,THURS 930,THURS 930,THURS 930,THURS 930,THURS 930,THURS 930,THURS 930,THURS 930,THURS 930,MON 300,MON 300,MON 300,MON 300,MON 300,MON 300,MON 300,MON 300,MON 300,MON 300,MON 300,MON 300,MON 300,MON 300,MON 300,MON 300,MON 300,MON 300,MON 300,MON 300,MON 300,MON 300,MON 300,MON 300,WED 300,WED 300,WED 300,WED 300,WED 300,WED 300,WED 300,WED 300,WED 300,WED 300,WED 300,WED 300,WED 300,WED 300,WED 300,WED 300,WED 300
,,,,,,,,,,,,,TUES 915,TUES 915,TUES 915,TUES 915,TUES 915,TUES 915,TUES 915,TUES 915,TUES 915,TUES 915,TUES 915,,TUES 315,TUES 315,TUES 315,TUES 315,TUES 315,TUES 315,TUES 315,TUES 315,TUES 315,TUES 315,SAT 600,THURS 945,THURS 945,THURS 945,THURS 945,THURS 945,THURS 945,THURS 945,THURS 945,THURS 945,THURS 945,THURS 945,THURS 945,THURS 945,THURS 945,THURS 945,THURS 945,THURS 945,THURS 945,THURS 945,THURS 945,THURS 945,THURS 945,THURS 945,MON 315,MON 315,MON 315,MON 315,MON 315,MON 315,MON 315,MON 315,MON 315,MON 315,MON 315,MON 315,MON 315,MON 315,MON 315,MON 315,MON 315,MON 315,MON 315,MON 315,MON 315,MON 315,MON 315,MON 315,WED 315,WED 315,WED 315,WED 315,WED 315,WED 315,WED 315,WED 315,WED 315,WED 315,WED 315,WED 315,WED 315,WED 315,WED 315,WED 315,WED 315
,,,,,,,,,,,,,TUES 930,TUES 930,TUES 930,TUES 930,TUES 930,TUES 930,TUES 930,TUES 930,TUES 930,TUES 930,TUES 930,,TUES 330,TUES 330,TUES 330,TUES 330,TUES 330,TUES 330,TUES 330,TUES 330,TUES 330,TUES 330,,FRI 715,FRI 715,FRI 715,FRI 715,FRI 715,FRI 715,FRI 715,FRI 715,FRI 715,FRI 715,FRI 715,FRI 715,FRI 715,FRI 715,FRI 715,FRI 715,FRI 715,FRI 715,FRI 715,FRI 715,FRI 715,FRI 715,FRI 715,MON 330,MON 330,MON 330,MON 330,MON 330,MON 330,MON 330,MON 330,MON 330,MON 330,MON 330,MON 330,MON 330,MON 330,MON 330,MON 330,MON 330,MON 330,MON 330,MON 330,MON 330,MON 330,MON 330,MON 330,WED 330,WED 330,WED 330,WED 330,WED 330,WED 330,WED 330,WED 330,WED 330,WED 330,WED 330,WED 330,WED 330,WED 330,WED 330,WED 330,WED 330
,,,,,,,,,,,,,TUES 945,TUES 945,TUES 945,TUES 945,TUES 945,TUES 945,TUES 945,TUES 945,TUES 945,TUES 945,TUES 945,,TUES 345,TUES 345,TUES 345,TUES 345,TUES 345,TUES 345,TUES 345,TUES 345,TUES 345,TUES 345,,FRI 730,FRI 730,FRI 730,FRI 730,FRI 730,FRI 730,FRI 730,FRI 730,FRI 730,FRI 730,FRI 730,FRI 730,FRI 730,FRI 730,FRI 730,FRI 730,FRI 730,FRI 730,FRI 730,FRI 730,FRI 730,FRI 730,FRI 730,MON 345,MON 345,MON 345,MON 345,MON 345,MON 345,MON 345,MON 345,MON 345,MON 345,MON 345,MON 345,MON 345,MON 345,MON 345,MON 345,MON 345,MON 345,MON 345,MON 345,MON 345,MON 345,MON 345,MON 345,WED 345,WED 345,WED 345,WED 345,WED 345,WED 345,WED 345,WED 345,WED 345,WED 345,WED 345,WED 345,WED 345,WED 345,WED 345,WED 345,WED 345
,,,,,,,,,,,,,TUES 1000,TUES 1000,TUES 1000,TUES 1000,TUES 1000,TUES 1000,TUES 1000,TUES 1000,TUES 1000,TUES 1000,TUES 1000,,TUES 400,TUES 400,TUES 400,TUES 400,TUES 400,TUES 400,TUES 400,TUES 400,TUES 400,TUES 400,,FRI 1100,FRI 1100,FRI 1100,FRI 1100,FRI 1100,FRI 1100,FRI 1100,FRI 1100,FRI 1100,FRI 1100,FRI 1100,FRI 1100,FRI 1100,FRI 1100,FRI 1100,FRI 1100,FRI 1100,FRI 1100,FRI 1100,FRI 1100,FRI 1100,FRI 1100,FRI 1100,MON 400,MON 400,MON 400,MON 400,MON 400,MON 400,MON 400,MON 400,MON 400,MON 400,MON 400,MON 400,MON 400,MON 400,MON 400,MON 400,MON 400,MON 400,MON 400,MON 400,MON 400,MON 400,MON 400,MON 400,WED 400,WED 400,WED 400,WED 400,WED 400,WED 400,WED 400,WED 400,WED 400,WED 400,WED 400,WED 400,WED 400,WED 400,WED 400,WED 400,WED 400
,,,,,,,,,,,,,TUES 1015,TUES 1015,TUES 1015,TUES 1015,TUES 1015,TUES 1015,TUES 1015,TUES 1015,TUES 1015,TUES 1015,TUES 1015,,TUES 415,TUES 415,TUES 415,TUES 415,TUES 415,TUES 415,TUES 415,TUES 415,TUES 415,TUES 415,,FRI 1115,FRI 1115,FRI 1115,FRI 1115,FRI 1115,FRI 1115,FRI 1115,FRI 1115,FRI 1115,FRI 1115,FRI 1115,FRI 1115,FRI 1115,FRI 1115,FRI 1115,FRI 1115,FRI 1115,FRI 1115,FRI 1115,FRI 1115,FRI 1115,FRI 1115,FRI 1115,MON 415,MON 415,MON 415,MON 415,MON 415,MON 415,MON 415,MON 415,MON 415,MON 415,MON 415,MON 415,MON 415,MON 415,MON 415,MON 415,MON 415,MON 415,MON 415,MON 415,MON 415,MON 415,MON 415,MON 415,WED 415,WED 415,WED 415,WED 415,WED 415,WED 415,WED 415,WED 415,WED 415,WED 415,WED 415,WED 415,WED 415,WED 415,WED 415,WED 415,WED 415
,,,,,,,,,,,,,TUES 1030,TUES 1030,TUES 1030,TUES 1030,TUES 1030,TUES 1030,TUES 1030,TUES 1030,TUES 1030,TUES 1030,TUES 1030,,TUES 430,TUES 430,TUES 430,TUES 430,TUES 430,TUES 430,TUES 430,TUES 430,TUES 430,TUES 430,,FRI 1245,FRI 1245,FRI 1245,FRI 1245,FRI 1245,FRI 1245,FRI 1245,FRI 1245,FRI 1245,FRI 1245,FRI 1245,FRI 1245,FRI 1245,FRI 1245,FRI 1245,FRI 1245,FRI 1245,FRI 1245,FRI 1245,FRI 1245,FRI 1245,FRI 1245,FRI 1245,MON 430,MON 430,MON 430,MON 430,MON 430,MON 430,MON 430,MON 430,MON 430,MON 430,MON 430,MON 430,MON 430,MON 430,MON 430,MON 430,MON 430,MON 430,MON 430,MON 430,MON 430,MON 430,MON 430,MON 430,WED 430,WED 430,WED 430,WED 430,WED 430,WED 430,WED 430,WED 430,WED 430,WED 430,WED 430,WED 430,WED 430,WED 430,WED 430,WED 430,WED 430
,,,,,,,,,,,,,TUES 1045,TUES 1045,TUES 1045,TUES 1045,TUES 1045,TUES 1045,TUES 1045,TUES 1045,TUES 1045,TUES 1045,TUES 1045,,TUES 445,TUES 445,TUES 445,TUES 445,TUES 445,TUES 445,TUES 445,TUES 445,TUES 445,TUES 445,,FRI 100,FRI 100,FRI 100,FRI 100,FRI 100,FRI 100,FRI 100,FRI 100,FRI 100,FRI 100,FRI 100,FRI 100,FRI 100,FRI 100,FRI 100,FRI 100,FRI 100,FRI 100,FRI 100,FRI 100,FRI 100,FRI 100,FRI 100,MON 445,MON 445,MON 445,MON 445,MON 445,MON 445,MON 445,MON 445,MON 445,MON 445,MON 445,MON 445,MON 445,MON 445,MON 445,MON 445,MON 445,MON 445,MON 445,MON 445,MON 445,MON 445,MON 445,MON 445,WED 445,WED 445,WED 445,WED 445,WED 445,WED 445,WED 445,WED 445,WED 445,WED 445,WED 445,WED 445,WED 445,WED 445,WED 445,WED 445,WED 445
,,,,,,,,,,,,,TUES 1100,TUES 1100,TUES 1100,TUES 1100,TUES 1100,TUES 1100,TUES 1100,TUES 1100,TUES 1100,TUES 1100,TUES 1100,,TUES 500,TUES 500,TUES 500,TUES 500,TUES 500,TUES 500,TUES 500,TUES 500,TUES 500,TUES 500,,FRI 245,FRI 245,FRI 245,FRI 245,FRI 245,FRI 245,FRI 245,FRI 245,FRI 245,FRI 245,FRI 245,FRI 245,FRI 245,FRI 245,FRI 245,FRI 245,FRI 245,FRI 245,FRI 245,FRI 245,FRI 245,FRI 245,FRI 245,MON 500,MON 500,MON 500,MON 500,MON 500,MON 500,MON 500,MON 500,MON 500,MON 500,MON 500,MON 500,MON 500,MON 500,MON 500,MON 500,MON 500,MON 500,MON 500,MON 500,MON 500,MON 500,MON 500,MON 500,WED 500,WED 500,WED 500,WED 500,WED 500,WED 500,WED 500,WED 500,WED 500,WED 500,WED 500,WED 500,WED 500,WED 500,WED 500,WED 500,WED 500
,,,,,,,,,,,,,TUES 1115,TUES 1115,TUES 1115,TUES 1115,TUES 1115,TUES 1115,TUES 1115,TUES 1115,TUES 1115,TUES 1115,TUES 1115,,TUES 515,TUES 515,TUES 515,TUES 515,TUES 515,TUES 515,TUES 515,TUES 515,TUES 515,TUES 515,,FRI 300,FRI 300,FRI 300,FRI 300,FRI 300,FRI 300,FRI 300,FRI 300,FRI 300,FRI 300,FRI 300,FRI 300,FRI 300,FRI 300,FRI 300,FRI 300,FRI 300,FRI 300,FRI 300,FRI 300,FRI 300,FRI 300,FRI 300,MON 515,MON 515,MON 515,MON 515,MON 515,MON 515,MON 515,MON 515,MON 515,MON 515,MON 515,MON 515,MON 515,MON 515,MON 515,MON 515,MON 515,MON 515,MON 515,MON 515,MON 515,MON 515,MON 515,MON 515,WED 515,WED 515,WED 515,WED 515,WED 515,WED 515,WED 515,WED 515,WED 515,WED 515,WED 515,WED 515,WED 515,WED 515,WED 515,WED 515,WED 515
,,,,,,,,,,,,,TUES 1130,TUES 1130,TUES 1130,TUES 1130,TUES 1130,TUES 1130,TUES 1130,TUES 1130,TUES 1130,TUES 1130,TUES 1130,,TUES 530,TUES 530,TUES 530,TUES 530,TUES 530,TUES 530,TUES 530,TUES 530,TUES 530,TUES 530,,FRI 915,FRI 915,FRI 915,FRI 915,FRI 915,FRI 915,FRI 915,FRI 915,FRI 915,FRI 915,FRI 915,FRI 915,FRI 915,FRI 915,FRI 915,FRI 915,FRI 915,FRI 915,FRI 915,FRI 915,FRI 915,FRI 915,FRI 915,MON 530,MON 530,MON 530,MON 530,MON 530,MON 530,MON 530,MON 530,MON 530,MON 530,MON 530,MON 530,MON 530,MON 530,MON 530,MON 530,MON 530,MON 530,MON 530,MON 530,MON 530,MON 530,MON 530,MON 530,WED 530,WED 530,WED 530,WED 530,WED 530,WED 530,WED 530,WED 530,WED 530,WED 530,WED 530,WED 530,WED 530,WED 530,WED 530,WED 530,WED 530
,,,,,,,,,,,,,TUES 1145,TUES 1145,TUES 1145,TUES 1145,TUES 1145,TUES 1145,TUES 1145,TUES 1145,TUES 1145,TUES 1145,TUES 1145,,TUES 545,TUES 545,TUES 545,TUES 545,TUES 545,TUES 545,TUES 545,TUES 545,TUES 545,TUES 545,,FRI 930,FRI 930,FRI 930,FRI 930,FRI 930,FRI 930,FRI 930,FRI 930,FRI 930,FRI 930,FRI 930,FRI 930,FRI 930,FRI 930,FRI 930,FRI 930,FRI 930,FRI 930,FRI 930,FRI 930,FRI 930,FRI 930,FRI 930,MON 545,MON 545,MON 545,MON 545,MON 545,MON 545,MON 545,MON 545,MON 545,MON 545,MON 545,MON 545,MON 545,MON 545,MON 545,MON 545,MON 545,MON 545,MON 545,MON 545,MON 545,MON 545,MON 545,MON 545,WED 545,WED 545,WED 545,WED 545,WED 545,WED 545,WED 545,WED 545,WED 545,WED 545,WED 545,WED 545,WED 545,WED 545,WED 545,WED 545,WED 545
,,,,,,,,,,,,,TUES 1200,TUES 1200,TUES 1200,TUES 1200,TUES 1200,TUES 1200,TUES 1200,TUES 1200,TUES 1200,TUES 1200,TUES 1200,,TUES 600,TUES 600,TUES 600,TUES 600,TUES 600,TUES 600,TUES 600,TUES 600,TUES 600,TUES 600,,FRI 945,FRI 945,FRI 945,FRI 945,FRI 945,FRI 945,FRI 945,FRI 945,FRI 945,FRI 945,FRI 945,FRI 945,FRI 945,FRI 945,FRI 945,FRI 945,FRI 945,FRI 945,FRI 945,FRI 945,FRI 945,FRI 945,FRI 945,MON 600,MON 600,MON 600,MON 600,MON 600,MON 600,MON 600,MON 600,MON 600,MON 600,MON 600,MON 600,MON 600,MON 600,MON 600,MON 600,MON 600,MON 600,MON 600,MON 600,MON 600,MON 600,MON 600,MON 600,WED 600,WED 600,WED 600,WED 600,WED 600,WED 600,WED 600,WED 600,WED 600,WED 600,WED 600,WED 600,WED 600,WED 600,WED 600,WED 600,WED 600
,,,,,,,,,,,,,WED 1200,WED 1200,WED 1200,WED 1200,WED 1200,WED 1200,WED 1200,WED 1200,WED 1200,WED 1200,WED 1200,,WED 600,WED 600,WED 600,WED 600,WED 600,WED 600,WED 600,WED 600,WED 600,WED 600,,SAT 900,SAT 900,SAT 900,SAT 900,SAT 900,SAT 900,SAT 900,SAT 900,SAT 900,SAT 900,SAT 900,SAT 900,SAT 900,SAT 900,SAT 900,SAT 900,SAT 900,SAT 900,SAT 900,SAT 900,SAT 900,SAT 900,SAT 900,TUES 1230,MON 615,MON 615,MON 615,MON 615,MON 615,MON 615,MON 615,MON 615,MON 615,MON 615,MON 615,MON 615,MON 615,MON 615,MON 615,MON 615,MON 615,MON 615,MON 615,MON 615,MON 615,MON 615,MON 615,FRI 1200,FRI 1200,FRI 1200,FRI 1200,FRI 1200,FRI 1200,FRI 1200,FRI 1200,FRI 1200,FRI 1200,FRI 1200,FRI 1200,FRI 1200,FRI 1200,FRI 1200,FRI 1200,FRI 1200
,,,,,,,,,,,,,WED 1215,WED 1215,WED 1215,WED 1215,WED 1215,WED 1215,WED 1215,WED 1215,WED 1215,WED 1215,WED 1215,,WED 615,WED 615,WED 615,WED 615,WED 615,WED 615,WED 615,WED 615,WED 615,WED 615,,SAT 915,SAT 915,SAT 915,SAT 915,SAT 915,SAT 915,SAT 915,SAT 915,SAT 915,SAT 915,SAT 915,SAT 915,SAT 915,SAT 915,SAT 915,SAT 915,SAT 915,SAT 915,SAT 915,SAT 915,SAT 915,SAT 915,SAT 915,TUES 1245,MON 630,MON 630,MON 630,MON 630,MON 630,MON 630,MON 630,MON 630,MON 630,MON 630,MON 630,MON 630,MON 630,MON 630,MON 630,MON 630,MON 630,MON 630,MON 630,MON 630,MON 630,MON 630,MON 630,FRI 1215,FRI 1215,FRI 1215,FRI 1215,FRI 1215,FRI 1215,FRI 1215,FRI 1215,FRI 1215,FRI 1215,FRI 1215,FRI 1215,FRI 1215,FRI 1215,FRI 1215,FRI 1215,FRI 1215
,,,,,,,,,,,,,WED 1230,WED 1230,WED 1230,WED 1230,WED 1230,WED 1230,WED 1230,WED 1230,WED 1230,WED 1230,WED 1230,,WED 630,WED 630,WED 630,WED 630,WED 630,WED 630,WED 630,WED 630,WED 630,WED 630,,SAT 600,SAT 600,SAT 600,SAT 600,SAT 600,SAT 600,SAT 600,SAT 600,SAT 600,SAT 600,SAT 600,SAT 600,SAT 600,SAT 600,SAT 600,SAT 600,SAT 600,SAT 600,SAT 600,SAT 600,SAT 600,SAT 600,SAT 600,TUES 100,MON 645,MON 645,MON 645,MON 645,MON 645,MON 645,MON 645,MON 645,MON 645,MON 645,MON 645,MON 645,MON 645,MON 645,MON 645,MON 645,MON 645,MON 645,MON 645,MON 645,MON 645,MON 645,MON 645,FRI 1230,FRI 1230,FRI 1230,FRI 1230,FRI 1230,FRI 1230,FRI 1230,FRI 1230,FRI 1230,FRI 1230,FRI 1230,FRI 1230,FRI 1230,FRI 1230,FRI 1230,FRI 1230,FRI 1230
,,,,,,,,,,,,,WED 1245,WED 1245,WED 1245,WED 1245,WED 1245,WED 1245,WED 1245,WED 1245,WED 1245,WED 1245,WED 1245,,WED 645,WED 645,WED 645,WED 645,WED 645,WED 645,WED 645,WED 645,WED 645,WED 645,,SAT 615,SAT 615,SAT 615,SAT 615,SAT 615,SAT 615,SAT 615,SAT 615,SAT 615,SAT 615,SAT 615,SAT 615,SAT 615,SAT 615,SAT 615,SAT 615,SAT 615,SAT 615,SAT 615,SAT 615,SAT 615,SAT 615,SAT 615,TUES 115,MON 700,MON 700,MON 700,MON 700,MON 700,MON 700,MON 700,MON 700,MON 700,MON 700,MON 700,MON 700,MON 700,MON 700,MON 700,MON 700,MON 700,MON 700,MON 700,MON 700,MON 700,MON 700,MON 700,FRI 1245,FRI 1245,FRI 1245,FRI 1245,FRI 1245,FRI 1245,FRI 1245,FRI 1245,FRI 1245,FRI 1245,FRI 1245,FRI 1245,FRI 1245,FRI 1245,FRI 1245,FRI 1245,FRI 1245
,,,,,,,,,,,,,WED 100,WED 100,WED 100,WED 100,WED 100,WED 100,WED 100,WED 100,WED 100,WED 100,WED 100,,WED 700,WED 700,WED 700,WED 700,WED 700,WED 700,WED 700,WED 700,WED 700,WED 700,,SAT 745,SAT 745,SAT 745,SAT 745,SAT 745,SAT 745,SAT 745,SAT 745,SAT 745,SAT 745,SAT 745,SAT 745,SAT 745,SAT 745,SAT 745,SAT 745,SAT 745,SAT 745,SAT 745,SAT 745,SAT 745,SAT 745,SAT 745,TUES 130,MON 715,MON 715,MON 715,MON 715,MON 715,MON 715,MON 715,MON 715,MON 715,MON 715,MON 715,MON 715,MON 715,MON 715,MON 715,MON 715,MON 715,MON 715,MON 715,MON 715,MON 715,MON 715,MON 715,FRI 100,FRI 100,FRI 100,FRI 100,FRI 100,FRI 100,FRI 100,FRI 100,FRI 100,FRI 100,FRI 100,FRI 100,FRI 100,FRI 100,FRI 100,FRI 100,FRI 100
,,,,,,,,,,,,,WED 115,WED 115,WED 115,WED 115,WED 115,WED 115,WED 115,WED 115,WED 115,WED 115,WED 115,,WED 715,WED 715,WED 715,WED 715,WED 715,WED 715,WED 715,WED 715,WED 715,WED 715,,SAT 800,SAT 800,SAT 800,SAT 800,SAT 800,SAT 800,SAT 800,SAT 800,SAT 800,SAT 800,SAT 800,SAT 800,SAT 800,SAT 800,SAT 800,SAT 800,SAT 800,SAT 800,SAT 800,SAT 800,SAT 800,SAT 800,SAT 800,TUES 145,MON 730,MON 730,MON 730,MON 730,MON 730,MON 730,MON 730,MON 730,MON 730,MON 730,MON 730,MON 730,MON 730,MON 730,MON 730,MON 730,MON 730,MON 730,MON 730,MON 730,MON 730,MON 730,MON 730,FRI 115,FRI 115,FRI 115,FRI 115,FRI 115,FRI 115,FRI 115,FRI 115,FRI 115,FRI 115,FRI 115,FRI 115,FRI 115,FRI 115,FRI 115,FRI 115,FRI 115
,,,,,,,,,,,,,WED 130,WED 130,WED 130,WED 130,WED 130,WED 130,WED 130,WED 130,WED 130,WED 130,WED 130,,WED 730,WED 730,WED 730,WED 730,WED 730,WED 730,WED 730,WED 730,WED 730,WED 730,,SAT 915,SAT 915,SAT 915,SAT 915,SAT 915,SAT 915,SAT 915,SAT 915,SAT 915,SAT 915,SAT 915,SAT 915,SAT 915,SAT 915,SAT 915,SAT 915,SAT 915,SAT 915,SAT 915,SAT 915,SAT 915,SAT 915,SAT 915,TUES 200,MON 745,MON 745,MON 745,MON 745,MON 745,MON 745,MON 745,MON 745,MON 745,MON 745,MON 745,MON 745,MON 745,MON 745,MON 745,MON 745,MON 745,MON 745,MON 745,MON 745,MON 745,MON 745,MON 745,FRI 130,FRI 130,FRI 130,FRI 130,FRI 130,FRI 130,FRI 130,FRI 130,FRI 130,FRI 130,FRI 130,FRI 130,FRI 130,FRI 130,FRI 130,FRI 130,FRI 130
